CustomerNumber,Email,FirstName,LastName,Country,Zip,Street
10001,gudrun06@example.org,Elsa,Holmberg,Sweden,69775,Bäcktorget 46
10002,inge42@example.org,Leif,Johansson,Sweden,31049,Backgatan 932
10003,olofssonlars@example.org,Sofia,Eriksson,Sweden,43614,Aspvägen 0
10004,kajsajohansson@example.org,Birgitta,Lindgren,Sweden,74688,Skolvägen 8
10005,ckarlsson@example.org,Joakim,Nilsson,Sweden,72776,Backstigen 68
10006,xsamuelsson@example.net,Olof,Nilsson,Sweden,35250,Björkvägen 17
10007,jonas03@example.org,Eva,Andersson,Sweden,18581,Stationsvägen 8
10008,anderskarlsson@example.org,Veronica,Andersson,Sweden,15588,Järnvägsstigen 45
10009,clundqvist@example.org,Madeleine,Mårtensson,Sweden,49278,Kvarnstigen 88
10010,liljacarolina@example.org,Maria,Öhman,Sweden,45434,Nyvägen 65
10011,inilsson@example.net,Johanna,Nordström,Sweden,81244,Parkgatan 6
10012,birgittaarvidsson@example.org,Marianne,Berg,Sweden,84529,Stationsgränd 2
10013,fredrikssongoran@example.org,Ludvig,Johansson,Sweden,64152,Järnvägsgränd 61
10014,hhallberg@example.com,Irene,Jonasson,Sweden,68737,Ringvägen 84
10015,ingrid95@example.com,Michael,Sjögren,Sweden,12969,Fabriksstigen 976
10016,sigrid94@example.org,Rolf,Andreasson,Sweden,38522,Åkertorget 266
10017,pnilsson@example.org,Erika,Andersson,Sweden,23865,Industrigatan 56
10018,larsisaksson@example.org,Kjell,Hansen,Sweden,31096,Backvägen 0
10019,yvonnekarlsson@example.net,Per,Persson,Sweden,58056,Industrivägen 38
10020,tjohansson@example.com,Olof,Sundström,Sweden,56427,Kvarngatan 481
10021,larseriksson@example.com,Edvard,Olsson,Sweden,75608,Kyrkotorget 0
10022,olofpersson@example.com,Agneta,Johansson,Sweden,68615,Nyvägen 5
10023,mikael86@example.com,Birgit,Edlund,Sweden,36029,Industrivägen 8
10024,larsjansson@example.net,Margareta,Lundberg,Sweden,66147,Skolgränd 24
10025,zholmstrom@example.com,Anna,Hermansson,Sweden,36452,Idrottsgatan 271
10026,marianilsson@example.org,Agneta,Johansson,Sweden,51174,Strandgränd 7
10027,lennart70@example.org,Maria,Månsson,Sweden,71518,Skoltorget 3
10028,helgegunnarsson@example.com,Lennart,Näslund,Sweden,35979,Stationsgatan 60
10029,erling23@example.net,Daniel,Olofsson,Sweden,41326,Björktorget 67
10030,nils70@example.net,Herbert,Persson,Sweden,32903,Grangränd 492
10031,igustafsson@example.com,Jonas,Nilsson,Sweden,30169,Storstigen 162
10032,rhansson@example.com,Per,Nilsson,Sweden,77825,Kyrkovägen 382
10033,niklaslundqvist@example.com,Hans,Johansson,Sweden,87946,Skolgatan 03
10034,erik93@example.net,Karl,Persson,Sweden,18229,Järnvägsgränd 9
10035,henningandersson@example.net,Kristina,Karlsson,Sweden,75827,Skolgränd 0
10036,elsalarsson@example.net,Anna,Samuelsson,Sweden,70165,Ekvägen 512
10037,ceciliaeriksson@example.net,Katarina,Johansson,Sweden,51391,Kyrkgatan 66
10038,fredrikjohansson@example.com,Ulla,Berglund,Sweden,67593,Skolgatan 98
10039,slindkvist@example.org,Ingrid,Haglund,Sweden,62633,Strandvägen 5
10040,cgustafsson@example.org,Krister,Jansson,Sweden,46866,Björkgatan 068
10041,kjonsson@example.org,Josefine,Lundin,Sweden,71341,Ängsvägen 41
10042,xeriksson@example.org,Viktoria,Nyström,Sweden,28769,Parkstigen 79
10043,jonssonlinnea@example.com,Pernilla,Eriksson,Sweden,61490,Backgatan 917
10044,olssonkerstin@example.org,Gustaf,Abrahamsson,Sweden,96791,Skolgränd 568
10045,lkristiansson@example.net,Irene,Johansson,Sweden,22634,Kyrkvägen 86
10046,susanne98@example.com,Gunvor,Nyman,Sweden,40839,Ekvägen 148
10047,viola02@example.org,Maria,Andersson,Sweden,62744,Kyrkstigen 389
10048,gunnar18@example.com,Karl,Svensson,Sweden,28842,Aspvägen 9
10049,tpersson@example.net,Ingrid,Olsson,Sweden,32048,Björkgatan 65
10050,gnyberg@example.org,Karl,Eliasson,Sweden,29610,Skogsstigen 633
10051,malmchristina@example.net,Harald,Pettersson,Sweden,15517,Björkvägen 9
10052,ronny68@example.net,Mikael,Eriksson,Sweden,64666,Skogsgränd 00
10053,ikarlsson@example.org,Henrik,Andersson,Sweden,62222,Backgränd 536
10054,gunvorlarsson@example.org,Alexander,Svensson,Sweden,32944,Strandgränd 22
10055,nordinvaldemar@example.com,Aina,Lindqvist,Sweden,54676,Ängsgränd 9
10056,pbergman@example.net,Bo,Hellström,Sweden,54332,Trädgårdsgränd 737
10057,kurt04@example.com,Ola,Johansson,Sweden,98210,Industristigen 6
10058,cjohansson@example.com,Gustaf,Larsson,Sweden,11713,Björkgatan 9
10059,julia15@example.com,Margareta,Lindström,Sweden,90597,Trädgårdsgränd 323
10060,asa54@example.com,Magnus,Eklund,Sweden,94860,Granstigen 2
10061,robertlarsson@example.com,Mikael,Hägglund,Sweden,99449,Storgatan 48
10062,ingrid10@example.com,Axel,Karlsson,Sweden,41658,Nyvägen 98
10063,elisabetandersson@example.org,Anna,Olofsson,Sweden,73776,Kyrkogränd 30
10064,perssonjohan@example.org,Daniel,Hansson,Sweden,84377,Industritorget 0
10065,evaandersson@example.com,Lena,Svensson,Sweden,85507,Parktorget 14
10066,eva39@example.org,Kristina,Berglund,Sweden,13215,Bäckgatan 829
10067,mariajonsson@example.net,Maria,Jonsson,Sweden,35364,Asptorget 5
10068,ottossoncaroline@example.net,Berit,Nilsson,Sweden,46292,Industritorget 15
10069,jonasviklund@example.org,Sigurd,Ståhl,Sweden,93982,Villatorget 005
10070,linnea51@example.net,Maria,Lindberg,Sweden,15149,Skolgatan 3
10071,matsroos@example.net,Per,Dahlberg,Sweden,96925,Ekgatan 768
10072,henrikdahlgren@example.com,Lennart,Jansson,Sweden,85619,Asptorget 2
10073,falm@example.net,Torbjörn,Nyberg,Sweden,86879,Grangatan 281
10074,nolsson@example.net,Ingvar,Lundberg,Sweden,77428,Ekvägen 98
10075,martenssonebba@example.com,Edvin,Eriksson,Sweden,43016,Bäckvägen 6
10076,larssonjenny@example.com,Max,Larsson,Sweden,32389,Skolgatan 63
10077,maria65@example.com,Helena,Persson,Sweden,78551,Granvägen 673
10078,perolsson@example.net,Margareta,Gustafsson,Sweden,27672,Parkgatan 94
10079,sivsjogren@example.org,Eva,Sundström,Sweden,43335,Stationsstigen 0
10080,anderssonberit@example.net,Ann,Henriksson,Sweden,64823,Genvägen 7
10081,xhansson@example.net,Axel,Andersson,Sweden,31453,Parktorget 1
10082,vjohansson@example.com,Bertil,Eriksson,Sweden,37563,Ektorget 7
10083,ylarsson@example.net,Sofia,Bergqvist,Sweden,18065,Järnvägsvägen 5
10084,stigkarlsson@example.com,Susanna,Nilsson,Sweden,59677,Furustigen 171
10085,ijansson@example.com,Olivia,Svensson,Sweden,48046,Kyrkogatan 2
10086,margareta70@example.com,Peter,Lindell,Sweden,20081,Granvägen 561
10087,holmbergulrika@example.org,Lisa,Karlsson,Sweden,38970,Järnvägsvägen 094
10088,svenssonkarl@example.net,Mari,Edlund,Sweden,56503,Åkertorget 7
10089,christina37@example.com,Ulrika,Arvidsson,Sweden,23686,Ektorget 324
10090,anders92@example.com,Katarina,Erlandsson,Sweden,86159,Industrigatan 22
10091,oskarssonthomas@example.org,Margareta,Johansson,Sweden,90608,Ängsvägen 131
10092,lmagnusson@example.com,Vilhelmina,Högberg,Sweden,75296,Ekstigen 416
10093,uandersson@example.net,Berit,Larsson,Sweden,30180,Bäckvägen 0
10094,thomas71@example.com,Kent,Eriksson,Sweden,12983,Furuvägen 7
10095,ijansson@example.org,Inga,Karlsson,Sweden,49495,Granvägen 854
10096,ebengtsson@example.org,Lars,Lindholm,Sweden,13313,Grantorget 822
10097,karlssonmichael@example.com,Bengt,Johansson,Sweden,83031,Strandvägen 61
10098,oskarssonerik@example.com,Gerd,Larsson,Sweden,78316,Ektorget 078
10099,ijohansson@example.com,Rose-Marie,Gustafsson,Sweden,72571,Kvarngatan 70
10100,nilsnordin@example.com,Mattias,Holm,Sweden,77692,Grangränd 6
10101,gjohansson@example.net,Kurt,Andersson,Sweden,49039,Villastigen 29
10102,karl76@example.net,Rolf,Andersson,Sweden,14924,Granvägen 27
10103,nandersson@example.net,Ingeborg,Svensson,Sweden,66180,Skogsvägen 3
10104,elisabethaxelsson@example.org,Tobias,Johansson,Sweden,60611,Industrigatan 064
